transaction_id,account_id,transaction_date,transaction_type,amount,counterparty_country,counterparty_name,is_cash,is_high_risk,is_sanctions_hit,is_pep,daily_txn_count,high_value_flag,rapid_velocity_flag,high_risk_country_flag,pep_interaction_flag,high_risk_flag,sanctions_hit_score,total_suspicion_score
41353,56,"2025-07-21 00:00:00",Payment,424.44,UAE,Counterparty_202,0,0,1,0,1,0,0,1,0,0,2,3
48368,620,"2025-06-15 00:00:00",Withdrawal,-824.64,UAE,Counterparty_949,0,0,1,0,1,0,0,1,0,0,2,3
23536,982,"2025-03-21 00:00:00",Payment,78.08,Brazil,Counterparty_350,0,0,1,0,1,0,0,1,0,0,2,3
33302,296,"2025-12-28 00:00:00",Payment,-897.44,UAE,Counterparty_202,0,0,1,0,1,0,0,1,0,0,2,3
17175,226,"2025-08-29 00:00:00",Payment,683.86,China,Counterparty_645,0,0,1,0,1,0,0,1,0,0,2,3
15699,1262,"2025-10-30 00:00:00",Payment,847.43,China,Counterparty_981,0,0,1,0,1,0,0,1,0,0,2,3
46265,476,"2025-11-10 00:00:00",Payment,-305.64,Brazil,Counterparty_746,1,0,1,0,2,0,0,1,0,0,2,3
4352,188,"2025-03-04 00:00:00",Payment,-286.62,UAE,Counterparty_651,1,0,1,0,1,0,0,1,0,0,2,3
49778,191,"2025-10-20 00:00:00",Deposit,-608.10,Brazil,Counterparty_582,0,0,1,0,1,0,0,1,0,0,2,3
46193,1117,"2025-11-29 00:00:00",Withdrawal,609.55,Brazil,Counterparty_593,1,0,1,0,1,0,0,1,0,0,2,3
26210,700,"2025-06-28 00:00:00",Payment,499.46,China,Counterparty_49,1,0,1,0,2,0,0,1,0,0,2,3
26286,694,"2025-10-31 00:00:00",Withdrawal,-897.85,Brazil,Counterparty_809,0,0,1,1,1,0,0,1,0,0,2,3
25656,64,"2025-08-13 00:00:00",Withdrawal,-230.75,UAE,Counterparty_926,1,0,1,0,1,0,0,1,0,0,2,3
26798,300,"2025-09-08 00:00:00",Transfer,131.69,UK,Counterparty_957,1,0,1,1,1,0,0,0,1,0,2,3
35850,211,"2025-03-09 00:00:00",Withdrawal,-511.09,China,Counterparty_383,1,0,1,0,1,0,0,1,0,0,2,3
7223,778,"2025-05-03 00:00:00",Withdrawal,-274.36,Brazil,Counterparty_231,1,0,1,0,1,0,0,1,0,0,2,3
24838,433,"2025-11-05 00:00:00",Transfer,5.51,China,Counterparty_955,0,0,1,0,2,0,0,1,0,0,2,3
43649,1021,"2025-11-28 00:00:00",Withdrawal,-980.89,USA,Counterparty_62,1,0,1,1,1,0,0,0,1,0,2,3
42295,1275,"2025-09-10 00:00:00",Transfer,154.32,Brazil,Counterparty_318,0,0,1,0,1,0,0,1,0,0,2,3
49064,299,"2025-06-14 00:00:00",Transfer,465.80,China,Counterparty_132,0,0,1,1,1,0,0,1,0,0,2,3
49418,504,"2025-05-16 00:00:00",Withdrawal,444.06,UAE,Counterparty_701,0,0,1,0,1,0,0,1,0,0,2,3
22896,12,"2026-02-08 00:00:00",Deposit,-925.82,China,Counterparty_635,0,0,1,0,1,0,0,1,0,0,2,3
49430,12,"2025-12-04 00:00:00",Deposit,881.98,China,Counterparty_813,0,0,1,0,1,0,0,1,0,0,2,3
11727,1027,"2026-02-05 00:00:00",Deposit,-888.59,Brazil,Counterparty_903,0,0,1,0,2,0,0,1,0,0,2,3
28138,184,"2025-09-25 00:00:00",Transfer,120.65,Brazil,Counterparty_548,0,0,1,0,1,0,0,1,0,0,2,3
19801,499,"2025-08-27 00:00:00",Withdrawal,-338.76,China,Counterparty_289,0,0,1,0,1,0,0,1,0,0,2,3
8597,890,"2026-01-16 00:00:00",Payment,197.53,Canada,Counterparty_39,0,1,1,0,1,0,0,0,0,1,2,3
785,777,"2025-03-09 00:00:00",Transfer,-790.42,UAE,Counterparty_330,0,0,1,0,1,0,0,1,0,0,2,3
47028,863,"2025-02-19 00:00:00",Payment,-636.09,India,Counterparty_282,0,1,1,0,2,0,0,0,0,1,2,3
48202,1353,"2026-02-05 00:00:00",Payment,-202.67,India,Counterparty_461,1,0,1,1,1,0,0,0,1,0,2,3
13919,394,"2025-11-24 00:00:00",Payment,-360.13,Brazil,Counterparty_716,0,0,1,0,1,0,0,1,0,0,2,3
35468,243,"2025-08-04 00:00:00",Deposit,-693.50,China,Counterparty_456,0,0,1,0,1,0,0,1,0,0,2,3
45178,480,"2025-12-13 00:00:00",Payment,757.30,UAE,Counterparty_817,0,0,1,0,2,0,0,1,0,0,2,3
32637,917,"2025-05-13 00:00:00",Withdrawal,879.47,UAE,Counterparty_358,0,0,1,0,2,0,0,1,0,0,2,3
46500,287,"2025-09-19 00:00:00",Payment,-119.38,Germany,Counterparty_649,0,1,1,0,1,0,0,0,0,1,2,3
16168,629,"2025-05-07 00:00:00",Transfer,192.21,Brazil,Counterparty_554,1,0,1,0,1,0,0,1,0,0,2,3
